Time, Regions, Area
09,28,85,4271.583333333333
09,29,146,18006.033333333333
09,30,145,19655.666666666668
09,31,97,8916.55
09,32,123,12796.666666666666
09,33,99,11685.6
09,34,133,23679.083333333332
09,35,162,19190.35
09,36,130,33046.7
09,37,130,15867.133333333333
09,38,124,17650.683333333334
09,39,120,9708.95
09,40,90,15791.516666666666
09,41,47,1598.6
09,42,49,742.55
09,43,46,715.9
09,44,27,338.1166666666667
09,45,44,648.55
09,46,38,2070.7833333333333
09,47,31,683.5833333333334
09,48,44,791.9666666666667
09,49,55,1133.8333333333333
09,50,52,2320.4166666666665
09,51,75,3408.633333333333
09,52,72,7365.066666666667
09,53,87,4699.416666666667
09,54,59,1176.35
09,55,49,371.43333333333334
09,56,77,2403.6833333333334
09,57,112,8736.266666666666
09,58,110,12134.3
09,59,74,5355.433333333333
10,00,118,14305.583333333334
10,01,103,12612.633333333333
10,02,97,3157.6
10,03,116,5766.366666666667
10,04,117,14161.4
10,05,139,22482.8
10,06,138,25248.166666666668
10,07,128,18161.783333333333
10,08,129,16956.366666666665
10,09,160,26564.133333333335
10,10,152,16960.45
10,11,139,6074.1
10,12,124,10365.85
10,13,114,11313.85
10,14,100,11993.35
10,15,95,10286.4
10,16,87,5618.5
10,17,91,6504.716666666666
10,18,95,10830.4
10,19,89,7624.833333333333
10,20,150,25776.65
10,21,117,4724.933333333333
10,22,128,13353.466666666667
10,23,125,7961.083333333333
10,24,105,9959.7
10,25,90,7280.766666666666
10,26,92,6874.95
10,27,83,6194.866666666667
10,28,56,2879.9333333333334
10,29,48,1088.8166666666666
10,30,37,679.8
10,31,17,0.0
10,32,18,740.0833333333334
10,33,71,10379.966666666667
10,34,36,109.31666666666666
10,35,63,3314.1833333333334
10,36,47,1478.1
10,37,52,5195.266666666666
10,38,48,2691.266666666667
10,39,8,0.0
10,40,12,0.0
10,41,29,965.1166666666667
10,42,42,2632.15
10,43,66,2271.25
10,44,57,2787.0
10,45,52,5549.933333333333
10,46,47,2348.5333333333333
10,47,58,2140.616666666667
10,48,83,5102.516666666666
10,49,62,3007.5833333333335
10,50,4,0.0
10,51,10,138.41666666666666
10,52,50,3157.2
10,53,58,1663.6
10,54,83,4920.666666666667
10,55,78,4170.216666666666
10,56,120,13974.483333333334
10,57,95,5078.683333333333
10,58,79,4587.15
10,59,95,12439.216666666667
11,00,77,6936.0
11,01,82,4292.8
11,02,54,5413.4
11,03,98,4656.35
11,04,75,1631.8833333333334
11,05,104,6087.416666666667
11,06,49,5786.883333333333
11,07,48,4322.1
11,08,81,9351.416666666666
11,09,42,578.3666666666667
11,10,58,3180.9333333333334
11,11,49,1974.1333333333334
11,12,89,10897.2
11,13,65,6334.233333333334
11,14,77,5174.083333333333
11,15,48,1065.3333333333333
11,16,70,12729.483333333334
11,17,74,1842.8
11,18,89,5608.266666666666
11,19,66,3799.766666666667
11,20,51,2952.733333333333
11,21,89,11139.633333333333
11,22,92,13840.716666666667
11,23,34,571.5666666666667
11,24,27,597.4
11,25,51,3502.3166666666666
11,26,60,8546.516666666666
11,27,54,5883.283333333334
11,28,16,985.3833333333333
11,29,38,4000.6
11,30,64,8555.583333333334
11,31,50,1780.6166666666666
11,32,22,756.25
11,33,15,105.11666666666666
11,34,37,1144.65
11,35,92,4599.983333333334
11,36,99,8222.35
11,37,93,5699.466666666666
11,38,78,12187.5
11,39,100,13810.516666666666
11,40,96,7961.583333333333
11,41,90,9663.866666666667
11,42,72,6952.666666666667
11,43,94,3172.483333333333
11,44,87,1958.6333333333334
11,45,110,10759.983333333334
11,46,100,16312.55
11,47,74,2120.0333333333333
11,48,119,13619.75
11,49,135,17329.75
11,50,144,22132.183333333334
11,51,104,15441.116666666667
11,52,133,13953.683333333332
11,53,120,23712.966666666667
11,54,116,16035.0
11,55,136,6242.233333333334
11,56,106,8704.633333333333
11,57,88,11229.6
11,58,103,13371.15
11,59,90,13263.95
12,00,132,27164.016666666666
12,01,123,13432.283333333333
12,02,121,17423.75
12,03,81,8536.6
12,04,86,3910.133333333333
12,05,76,4761.933333333333
12,06,45,978.7333333333333
12,07,63,4765.583333333333
12,08,43,1748.25
12,09,50,1768.2833333333333
12,10,57,2666.7166666666667
12,11,66,8353.066666666668
12,12,78,7487.766666666666
12,13,54,6083.883333333333
12,14,55,5257.133333333333
12,15,49,1312.0833333333333
12,16,51,1249.9
12,17,26,4968.416666666667
12,18,51,2339.75
12,19,42,2099.8166666666666
12,20,64,3294.75
12,21,59,2024.0666666666666
12,22,94,6832.15
12,23,79,6068.533333333334
12,24,80,5582.283333333334
12,25,97,14377.133333333333
12,26,90,7551.883333333333
12,27,69,5530.166666666667
12,28,124,8573.15
12,29,75,3389.883333333333
12,30,70,7447.383333333333
12,31,72,6881.966666666666
12,32,94,11665.1
12,33,91,11138.85
12,34,57,5728.383333333333
12,35,64,2075.9166666666665
