Time, Regions, Area
16,53,142,21525.783333333333
16,54,105,14599.333333333334
16,55,138,39791.55
16,56,136,30101.166666666668
16,57,145,23318.75
16,58,88,6981.183333333333
16,59,74,7733.166666666667
17,00,59,4387.716666666666
17,01,67,5506.566666666667
17,02,69,3267.516666666667
17,03,59,2478.366666666667
17,04,78,10610.75
17,05,114,27124.85
17,06,108,20857.05
17,07,96,14101.966666666667
17,08,109,16026.566666666668
17,09,93,9162.316666666668
17,10,139,18096.916666666668
17,11,135,15962.383333333333
17,12,133,26424.966666666667
17,13,117,24760.433333333334
17,14,155,38833.066666666666
17,15,145,24978.1
17,16,121,12272.966666666667
17,17,70,6459.25
17,18,65,4811.933333333333
17,19,101,11833.45
17,20,157,35520.666666666664
17,21,87,4795.266666666666
17,22,62,2787.55
17,23,91,15416.45
17,24,81,11722.933333333332
17,25,80,7328.716666666666
17,26,133,34700.566666666666
17,27,133,25270.633333333335
17,28,120,13239.8
17,29,118,21020.516666666666
17,30,160,35983.65
17,31,164,41504.53333333333
17,32,120,38458.35
17,33,135,45616.6
17,34,112,26634.483333333334
17,35,106,35927.73333333333
17,36,120,27021.7
17,37,123,24452.616666666665
17,38,116,20576.383333333335
17,39,125,43598.21666666667
17,40,146,55549.083333333336
17,41,107,30262.866666666665
17,42,86,5343.75
17,43,133,29120.95
17,44,120,19054.783333333333
17,45,138,26085.5
17,46,123,22112.25
17,47,132,25593.033333333333
17,48,108,23409.783333333333
17,49,78,18382.883333333335
17,50,70,14117.5
17,51,64,19968.55
17,52,83,23388.85
17,53,95,27417.166666666668
17,54,120,43428.816666666666
17,55,94,24259.283333333333
17,56,120,36902.96666666667
17,57,109,23870.816666666666
17,58,117,18041.216666666667
17,59,110,28118.716666666667
18,00,110,20702.95
18,01,78,28243.433333333334
18,02,103,24191.433333333334
18,03,75,14135.083333333334
18,04,127,41792.166666666664
18,05,126,36919.36666666667
18,06,106,38813.48333333333
18,07,119,17746.366666666665
18,08,170,32055.05
18,09,137,15471.366666666667
18,10,170,36432.03333333333
18,11,153,38888.9
18,12,123,20363.266666666666
18,13,130,26644.883333333335
18,14,137,25497.166666666668
18,15,171,59244.25
18,16,133,28873.666666666668
18,17,132,23766.833333333332
18,18,120,24883.15
18,19,152,19218.716666666667
18,20,149,22593.416666666668
18,21,120,25891.5
18,22,168,32418.633333333335
18,23,141,37431.73333333333
18,24,180,45173.78333333333
18,25,175,39403.9
18,26,156,35143.8
18,27,183,54168.76666666667
18,28,171,27868.283333333333
18,29,160,27093.45
18,30,135,37492.066666666666
18,31,151,22241.4
18,32,131,17839.666666666668
18,33,116,6164.466666666666
18,34,79,3132.2
18,35,112,9094.333333333334
18,36,127,15393.5
18,37,131,29540.083333333332
18,38,138,24938.133333333335
18,39,163,60472.566666666666
18,40,118,15259.883333333333
18,41,145,33434.98333333333
18,42,119,18092.616666666665
18,43,121,20308.7
18,44,152,38459.28333333333
18,45,107,16276.816666666668
18,46,146,43276.15
